"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14042830","JJ506267","2025-11-29T19:24:00.000","024XX E 83RD ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","true","false","0423","004","7","46","15","1194200","1850421","2025","2025-12-07T15:47:28.000","41.744487934","-87.563999269","
,  
(41.744487934, -87.563999269)"
"14042822","JJ506255","2025-11-29T19:16:00.000","065XX S JUSTINE ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","true","false","0725","007","16","67","15","1167130","1861397","2025","2025-12-07T15:47:28.000","41.775228887","-87.662873236","
,  
(41.775228887, -87.662873236)"
"14042760","JJ506263","2025-11-29T19:14:00.000","012XX S LAWNDALE AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","APARTMENT","false","false","1011","010","24","29","26","1151902","1894218","2025","2025-12-07T15:47:28.000","41.865606394","-87.717835788","
,  
(41.865606394, -87.717835788)"
"14042817","JJ506257","2025-11-29T19:14:00.000","027XX N NARRAGANSETT AVE","1330","CRIMINAL TRESPASS","TO LAND","RESTAURANT","true","false","2512","025","36","19","26","1133273","1917606","2025","2025-12-07T15:47:28.000","41.9301323","-87.785676799","
,  
(41.9301323, -87.785676799)"
"14042851","JJ506265","2025-11-29T19:09:00.000","106XX S CHAMPLAIN AVE","1365","CRIMINAL TRESPASS","TO RESIDENCE","RESIDENCE","false","true","0512","005","9","50","26","1182493","1834453","2025","2025-12-07T15:47:28.000","41.700949032","-87.607387993","
,  
(41.700949032, -87.607387993)"
"14042736","JJ506256","2025-11-29T19:05:00.000","009XX W IRVING PARK RD","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","1923","019","46","6","06","1169204","1926746","2025","2025-12-07T15:47:28.000","41.954507152","-87.653372774","
,  
(41.954507152, -87.653372774)"
"14044334","JJ507287","2025-11-29T19:01:00.000","025XX N Southport Ave","0820","THEFT","$500 AND UNDER","APARTMENT","false","false","1932","019","32","7","06","1166555","1916846","2025","2025-12-07T15:47:28.000","41.927398332","-87.663395275","
,  
(41.927398332, -87.663395275)"
"14043186","JJ506775","2025-11-29T19:00:00.000","059XX S WHIPPLE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0824","008","15","66","14","1157066","1865063","2025","2025-12-07T15:47:28.000","41.785498307","-87.699667799","
,  
(41.785498307, -87.699667799)"
"14048696","JJ512858","2025-11-29T19:00:00.000","054XX W FERDINAND ST","0820","THEFT","$500 AND UNDER","APARTMENT","false","false","1523","015","37","25","06",,,"2025","2025-12-07T15:47:28.000",,,
"14043891","JJ507356","2025-11-29T19:00:00.000","061XX S GREEN ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false","0712","007","16","68","05","1171684","1864237","2025","2025-12-07T15:47:28.000","41.782923538","-87.646095663","
,  
(41.782923538, -87.646095663)"
"14042816","JJ506253","2025-11-29T19:00:00.000","034XX W OHIO ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true","1121","011","27","23","08B","1153380","1903787","2025","2025-12-07T15:47:28.000","41.891835528","-87.712155694","
,  
(41.891835528, -87.712155694)"
"14043534","JJ506792","2025-11-29T19:00:00.000","010XX W 51ST ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0933","009","20","61","14","1170040","1870991","2025","2025-12-07T15:47:28.000","41.80149318","-87.651926804","
,  
(41.80149318, -87.651926804)"
"14044326","JJ507689","2025-11-29T19:00:00.000","0000X E GRAND AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","DEPARTMENT STORE","false","false","1834","018","42","8","11","1176796","1903917","2025","2025-12-07T15:47:28.000","41.891694878","-87.626155832","
,  
(41.891694878, -87.626155832)"
"14042798","JJ506280","2025-11-29T18:50:00.000","002XX W 31ST ST","0810","THEFT","OVER $500","STREET","true","false","0915","009","11","34","06","1175287","1884420","2025","2025-12-07T15:47:28.000","41.838227796","-87.632282365","
,  
(41.838227796, -87.632282365)"
"14042841","JJ506275","2025-11-29T18:49:00.000","063XX S HONORE ST","1812","NARCOTICS","POSSESS - CANNABIS MORE THAN 30 GRAMS","STREET","true","false","0726","007","15","67","18","1165103","1862546","2025","2025-12-07T15:47:28.000","41.778425019","-87.670271503","
,  
(41.778425019, -87.670271503)"
